Word	Pronunciation	POS	Meaning	Verb Class		Volition status				first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) 				tanmqe/ camgyu 								teptyu (coinage system)					
jehcupe	ʒɛhçupɛ	ppr	game of poison (popular strategy game)																								
Jieleun	jiɛlœn	ppr	planet Earth; Terra (from tea pot planet; can be analyzed as dig planet or crevice planet)																								
Juphenua	ʒuɸɛnuɑ	ppr	scroll season (counting food stock; end of autumn)	time																							
Kanbriithdir	kɑnbɾɪθdiɾ	ppr	Rockforge	place																							
Khoqua	kʰoquɑ	ppr	storm/monsoon season (occurs usually through summer)	time																							
Khuseuko	kʰusœko	ppr	jewel cave; located in the tiitueru; one of the largest cave systems on Onope; known for its calcite crystals and the glowing reaction they have with imai	place; wbw																							
Kith Kilan	kiθ kilɑn	ppr	verdant rainforest (place)	place																							
Ksh'enobyen	kʃʔɛnobjɛn	ppr	another name for the Nabian salt flats - lit thin rain water above salt (forms a natural mirror)	place																							
Kwliin	kʍulɪn	ppr	closely related tribe of the Tkalevk; theorized to have had a common; not so distant ancestor	tribe																							
Kyode	kʲodɛ	ppr	Migration or Tsevhu Ripple Checkers; marble board game characterized by a fight for a limited amount of spots around the outer edge of the board (I made it up, but it's a working game and quite fun)	culture; game; wbw																							
Kyov Qat	kʲov qɑt	ppr	war (personified)	name																							
Leb Somsanyu	lɛb somsɑɲu	ppr	three sun towers -- a lighthouse; an observation tower; and  a calibration tower	place; wbw																							
Leqeua	lɛqœɑ	ppr	harvest season (autumn)	time																							
Matsiin	mɑtsɪn	ppr	this online dictionary (lit. lightning library)																								
Monaec	moneç	ppr	housome aka Feng shui hustle (game about finding the best layout for a house)	game; wbw																							
Na'okau	nɑʔokaʊ	ppr	old tongue; old tsevhu; spoken at a much earlier time; dying out around the time right before the Hatsavhe where it then is revived	culture																							
Najik	nɑʒik	ppr	orc; tribe of orc-like people (dark hair or white hair; greenish or black skin; quills) also called the Najik Horde																								
Neshet	nɛʃɛt	ppr	Shorthand; the quicker way of writing tsevhu (lit. smooth word)																								
Nuariin	nuɑɾɪn	ppr	Vanishing tribe (elves)	tribe																							
Ohinuejen	ohinuɛʒɛn	ppr	Butterfly festival; celebrating migration of butterflies and remembrance of the dead	culture																							
Qaiseuk	qaisœk	ppr	people of the Lesser Clockworks tribe																								
Qaisiin	qaisɪn	ppr	people of the Greater Clockworks tribe																								
Qatyuk	qɑtjuk	ppr	compound of 'qat' and 'tyuk'; for names of tyuk; such as Sakyote Qatyuk (Personified war); honor suffix = -qatu	culture																							
Reneshet	ɾɛnɛʃɛt	ppr	alternative shorthand writing system for Tsevhu that is more CJK in appearance (also called Rineshet and Rene; from building block smooth word or earth smooth word)																								
Riiseuk	ɾɪsœk	ppr	humans (literally pale tribe; based on that humans are often albino (much much moreso than on earth))	tribe																							
Saestya	sestjɑ	ppr	city name (derived from place of endless/crumbling sand)	place																							
Sajupheua	sɑʒuɸœɑ	ppr	(major scroll season; before tsanua)																								
Samutae	sɑmute	ppr	the Hunt																								
Saubua	saʊbuɑ	ppr	flood season (beginning of spring; especially after little Spring; but can be any flooding)	time																							
Sibaliyon	sibɑlijon	ppr	Shifting Paths (based off Labyrinth boardgame; from path; fortifications; move)	game; wbw																							
Suon Kiin	suon kɪn	ppr	rust desert (place)	place																							
Talohinue	tɑlohinuɛ	ppr	butterfly ship; constellation (also called Benohinue; belief that this is where butterflies take souls to sail the sea of stars - 'eunae)	culture 																							
Tenisul	tɛnisul	ppr	silver river (place)	place																							
Theodeya	θɛodɛjɑ	ppr	Germany																								
Tiitueru	tɪtuɛɾu	ppr	brother mountains; located north of the suon kiin; south pass is the only major pass through them	place; wbw																							
Tkalevk	tkɑlɛvk	ppr	tribe often associated with/called leviathans; theorized as the original speakers of Tsevhu	tribe																							
Tsumen'ol	tsumɛnʔol	ppr	Tenth Winter's Dance - A celebration of Tsanua, the longer cold season that occurs every ten years on Onope, with ribbon dances around short coniferous trees, ornament tossing competitions, and hot soup and fried foods aplenty. Typically celebrated in the beginning of (whichever month short winter usually starts in.)	culture; wbw																							
Twniin 	tʍunɪn	ppr	tribe of angels (heaven/sky people)																								
Vanara	vɑnɑɾɑ	ppr	tribe of people with monkey like characteristics	tribe																							
vhuikhulu	βuikʰulu	ppr	ice-white koi fish (sometimes vhikhulu)	animal; fish																							
Vhuteya	βutɛjɑ	ppr	land of koi; the country of origin for tsevhu and the tsavhe	place																							
Xanyng Qat	xɑnəŋg qɑt	ppr	The Hunger; The Starving One (often associated with wendigo)	name																							
Xujiin	xuʒɪn	ppr	tribe with cat like features	tribe																							
Yat	jɑt	ppr	a person of Hekatl tribe (person of the tribe of dragon riders; usually referring to those who are out on their coming of age journey)	tribe																							
Yriae Auri	əɾie aʊɾi	ppr	bamboo festival	culture																							
Zyajenesa	zjɑʒɛnɛsɑ	ppr	celebration of life/beginnings (holiday; new years; sometimes called Haejenesa instead esp recently)	culture																							
 'ek	ʔɛk	post	in front																								
 'ep	ʔɛp	post	forward; onward																								
ajyn	ɑʒən	post	per; for each (used in percents and fractions; from every in - also uses full phrase of "num (case)-every num yn")																								
daj	dɑʒ	post	according to																								
dkii	dkɪ	post	against																								
fii	fɪ	post	across; across from																								
gu	gu	post	down																								
iku	iku	post	beside; by; next to																								
ish	iʃ	post	way out there; out past; beyond																								
ishvra	iʃvɾɑ	post	far; by far (comparative; but denoting a big difference between it and the next option)																								
je	ʒɛ	post	up																								
jesh 	ʒɛʃ	post	up from																								
jien	ʒiɛn	post	before																								
ka'ae	kɑʔe	post	off; off of																								
ka'ii	kɑʔɪ	post	out from; out of; from 																								
ka'in	kɑʔin	post	out; outside																								
ka'mo	kɑʔmo	post	away; away from; apart																								
ka'po	kɑʔpo	post	out back																								
ke	kɛ	post	at; during (used with time or events)																								
kha	kʰɑ	post	among; amidst																								
khot	kʰot	post	at (location)																								
kveun	kvœn	post	between																								
loi	lɔi	post	over																								
maq	mɑq	post	to; toward																								
mekor	mɛkoɾ	post	after																								
mem	mɛm	post	far from																								
moni	moni	post	on; on top; on top of; upon																								
muku	muku	post	along																								
nkor	nkoɾ	post	for; duration																								
pas	pɑs	post	a great deal; much; a lot; many (else pa- / ba-)																								
pok	pok	post	behind																								
pon	pon	post	back; backwards																								
shae	ʃe	post	from (specific location); by (as in written or made by)																								
srishvra	sɾiʃvɾɑ	post	by far (superlative; but denoting a big difference between it and any other option)																								
thyn	θən	post	unto; until; up to (used with extents of things like size; from tho and yn)																								
tsu	ʦu	post	around																								
ur	uɾ	post	into																								
veur	vœɾ	post	under; below; beneath																								
wmu	ʍumu	post	through																								
wnua	ʍunuɑ	post	throughout																								
yena	jɛna	post	above																								
yn	ən	post	inside; in; within																								
jael	ʒel	pn; det	such; mentioned previously or will be mentioned (such a ...)																								
aero	eɾo	pn; adv	every time; every instance; whenever (lit all pebble (used for counting))																								
riyen	ɾijɛn	pn; adv	somewhere																								
aevi	evi	pn	everyone; everybody; all (lit all one) (pl & uses pl det)																								
aj	ɑʒ	pn	every; each																								
aj'i	ɑʒ'i	pn	everything																								
ajae	ɑʒe	pn	all; all of; each one of; every one of (pl; from every all; can use just aj for every instead)																								
ajio	ɑʒio	pn	other; every other; all other																								
ajyen	ɑʒʲɛn	pn	everywhere																								
an'i	ɑnʔi	pn	nothing																								
avi	ɑvi	pn	no one; none																								
iovi	iovi; jovi	pn	another; one more; one additional (often just io)																								
kero	kɛɾo	pn	enough; adequate; sufficient; acceptable (from valuable pebbles)																								
keruj	kɛɾuʒ	pn	good enough; kenough; very well; plenty (from valuable good)																								
moyen	mojɛn	pn	anywhere																								
nmio	nmio	pn	any other																								
nmo	nmo	pn	any																								
nmo'i	nmoʔi	pn	anything																								
nmov	nmov	pn	anyone																								
nru	nɾu	pn	some (more often use indef.plural prn (might have to find specific instances for this prn; and maybe rework prns that use nru*)																								
nru'i	nɾuʔi	pn	something																								
nru'imb	nɾuʔimb	pn	something else (dialectally nru'im)																								
nrusa	nɾusɑ	pn	somehow																								
nruvi	nɾuvi	pn	someone; somebody 																								
oru	oɾu	pn	then																								
paun	pɑun	pn	most (from a lot of people; can be used with other nouns)																								
samir	sɑmiɾ	pn	sweetheart; dear; love																								
sar	sɑɾ	pn	how																								
set	sɛt	pn	here																								
seut	sœt	pn	there 																								
soli	soli	pn	there (existential; out of sight)																								
sot	sot	pn	there (in sight)																								
tanyth	tɑnəθ	pn	both; together; each other (implies two, but doesn't have to be; tanel is more often the form used for each other in reciprocals; when together is used as an adverb, use tan(-))																								
tegm	tegm̩	pn	whatever																								
y'i	əʔi	pn	what																								
yan	jɑn	pn	few																								
yen	jɛn	pn	where																								
yenmo	jɛnmo	pn	wherever (from where any)																								
yiib	jɪb	pn	why																								
yron	əɾon	pn	when; what time (also adv yor(-); double-check phrase is not conditional when using)																								
yvi	əvi	pn	who																								
ukyl jolaepyvon 	ukəl ʒolepəvon	phr	sudden danger in a perceived safe space (lit. teeth of goose; shortened to ukyjopyon)																								
twnno	tʍunno	o; adj	amazing; astounding (backformation)																								
 'u'u	ʔuʔu	o	sound of a monkey																								
aek	ek	o	slam; smack																								
aur / rof	aʊɾ/ɾof	o	bark bark (as in dog barking)																								
auu	aʊu	o	howl																								
cece	çɛçɛ	o	hiss																								
ciym	çiəm	o	undulating; swaying (esp grass; trees; and waves)																								
ginbo	ɡinbo	o	bounce; boing																								
he' / ce'	hɛʔ / çɛʔ	o	heh; small chuckle																								
hym	həm	o	hum																								
karih 	kɑɾih; kɑɾiː	o	bird cry																								
kra	kɾɑ	o	caw																								
ktsy	ktsə	o	tch; dang it (disappointment); ow (after getting hurt)																								
kut	kut	o	smile, grin																								
lyus	ljus	o	break open; break through; break free; burst; instant; moment something begins (very very short with high impact)																								
naca	nɑçɑ	o	press; click																								
nyau /nyu	njaʊ/nju	o	meow; mew																								
oiph	oɪɸ	o	mutter; murmur; complain																								
phuteu	ɸutœ	o	puff of air (exhaled; plosive/stop) often just phut																								
phy	ɸə	o	blah (as in blah blah blah)																								
pyiib	pʲɪb	o	sniff; snort																								
qehoc	qɛhoç	o	sigh (exhaled; fricative) often just hoc																								
rhush	ɾ̥uʃ	o	rushing or moving water; esp rivers or waterfalls																								
ris	ɾis	o	risris bird call	animal; bird; wbw																							
tat	tɑt	o	kick at																								
tauh	taʊh	o	caw; crow; croak																								
teumiib	tœmɪb	o	suck in air (inhaled; ingressive) often just miib																								
tok	tok	o	cluck; bawk; honk; laugh (esp weirdly)																								
xwr	xʍuɾ	o	growl																								
cam'kesh	çɑmʔkɛʃ	num	hundred thousand 100;000																								
chas	ʧɑs	num	Four 4																								
daec	deç	num	nine 9																								
gyu	gju	num	quarter																								
hai / mun	hai / mun	num	ten 10																								
hai'cam / kesh 	haiʔçam / kɛʃ	num	one thousand 1000																								
hai'mun / cam	haiʔmun / çam	num	one hundred 100																								
kvi	kvi	num	eight 8																								
leb	lɛb	num	three 3																								
leb'iin	lɛbʔɪn	num	third 3rd																								
mud	mud	num	Six 6																								
qen	qɛn	num	five 5																								
tan	tɑn	num	two 2																								
tan'iin	tɑnʔɪn	num	second 2nd																								
teuk	tœk	num	Seven 7																								
vi	vi	num	one 1																								
vi'iin	viʔɪn	num	first 1st																								
xa	xɑ	num	none; zero 0																								
zi	zi	num	half																								
cosroq	çosɾoq	n; adj	fleeting moment; phase; short lived; brief (lit. smoke moment; for verbs use the momentane aspect instead; compare with lyus)																								
ohetseiyesema	ohɛtseijɛsɛmɛ	n; adj	the feeling of satisfaction from a really good meal; stuffed (lit. strawberry meal feeling - sometimes ohelakcyeseme)																								
twnnoel	tʍunnoɛl	n; adj	personal pride (amazing self); proud																								
twnnoii	tʍunnoɪ	n; adj	pride (usually in others); proud																								
 'aroka	ʔɑɾokɑ	n	freak																								
 'euna	ʔœnɑ	n	starry sky; star field; galaxy; blanket of stars; night sky																								
 'eunyl	ʔœnəl	n	soul; body and spirit (lit. starry sky belonging to (something); from the idea that the origin of life came from the stars; composed of nue - spirit and amem - body)																								
 'iis	ʔɪs	n	ripple																								
 'ol	ʔol	n	dance (also in'ate; in'ame for free form dance)																								
(baya) juksiu	(bɑjɑ) ʒuksiu	n	willow tree	tree																							
(baya) tirlij	(bɑjɑ) tiɾliʒ	n	coppermint tree	tree																							
(baya) tseugy	(bɑjɑ) tsœɡə	n	hemlock tree; a general term for evergreen trees 	tree																							
(baya) vhesyn	(bɑjɑ) βɛsən	n	everorange tree	tree																							
(baya) ziyathe	(bɑjɑ) zijɑθɛ	n	peachwood tree	tree																							
(ro) dkagyu	(ɾo) dkɑgju	n	rd; 250 dollars (mythril pip)	culture																							
(ro) qogyu	(ɾo) qogju	n	rq; 25 dollars (gold pip)	culture																							
(ro) shegyu	(ɾo) ʃɛgju	n	rs; quarter (bronze pip)	culture																							
(ro) tirgyu	(ɾo) tiɾgju	n	rt; 2.5 cents (lowest coin) (copper pip)	culture																							
(ro) ulgyu	(ɾo) ulgju	n	ru; 2.5 dollars (silver pip)	culture																							
(syn) dkazi	(sən) dkɑzi	n	sd; 500 dollars (mythril ram)	culture																							
(syn) qozi	(sən) qozi	n	sq; 50 dollars (gold ram)	culture																							
(syn) shezi	(sən) ʃɛzi	n	ss; half dollar (bronze ram)	culture																							
(syn) tirzi	(sən) tiɾzi	n	st; nickle (copper ram)	culture																							
(syn) ulezi	(sən) ulɛzi	n	su; 5 dollars (silver ram)	culture																							
(tio) dkap	(tio) dkɑp	n	td mythril mink; 1000 dollars	culture																							
(tio) qoap	(tio) qoɑp	n	tq gold mink; 100 dollars	culture																							
(tio) shep	(tio) ʃɛp	n	ts bronze mink; 1 dollar	culture																							
(tio) tirep 	(tio) tiɾɛp	n	tt copper mink; coin; dime	culture																							
(tio) ulep 	(tio) ulɛp	n	tu; silver mink; 10 dollars	culture																							
a'o	ɑʔo	n	wrist	body																							
ach	ɑtʃ	n	ford; place to cross a river																								
adachi	ɑdɑʧi	n	sword																								
adar	ɑdɑɾ	n	hippopotamus	animal; mammal																							
ae'e	eʔɛ	n	water																								
aeben	ebɛn	n	water surfer	sport																							
Aeliis	elɪs	n	Friday (water day; all day)	time																							
aene	enɛ	n	pure water; drinking water																								
aeniik	enɪk	n	pillar cactus (from water needle; grows in towering columns filled with water; small pink blossoms grow between spikes 	plant; wbw																							
aerhiim	eɾ̥ɪm	n	hammered dulcimer 																								
aetel	etɛl	n	stream																								
aeuniik	eunɪk	n	acacia tree (from vibrant thorn)	tree																							
aijrun	aiʒɾun	n	rift flower (red/pink on yellow/green vines; also called wlvhiish (warning flower))	plant; wbw																							
aiv	ɑɪv	n	age; years lived																								
aiya	aijɑ	n	head (river)																								
ajen	ɑʒɛn	n	year	time																							
ajencam	ɑʒɛnçɑm	n	century (lit. year hundred)	time																							
akad	ɑkɑd	n	gods; deities; divine beings; religion; centers of religious worship (very very general term; pl; but used singularly)	culture																							
aken	ɑkɛn	n	brain; brain matter																								
amba	ɑmbɑ	n	cow	animal; mammal																							
ambudi	ɑmbudi	n	dairy cow	animal; wbw 																							
amem	ɑmɛm	n	body; figure	body																							
amiikjo	ɑmɪkʒo	n	perfection																								
amvi	ɑmvi	n	grain (as in food)	food																							
amyt	ɑmət	n	warg; dog/wolf ridden as a mount (cais vargr)	mount																							
ana	ɑnɑ	n	son	family																							
anaro	ɑnɑɾo	n	grandson 	family																							
anatsa	ɑnɑtsɑ	n	circumstance(s)																								
ane	ɑnɛ	n	cliff																								
anglogae	ɑŋgloge	n	english																								
angw	ɑŋɡʍu	n	throat	body																							
ankuta	ɑnkutɑ	n	true smile from feelings of happiness 																								
aok	ɑok	n	appearance; visage																								
apha	ɑɸɑ	n	stage; raised platform; soapbox																								
api	ɑpi	n	stripe; stroke (esp with ink)																								
apohe	ɑpohɛ	n	apathy																								
apu	ɑpu	n	illness; sickness; disease																								
apukan	ɑpukɑn	n	brilliant malady; slightly radioactive green gemstone	stone; wbw																							
aq	ɑq	n	joint	body																							
aretu	ɑɾɛtu	n	temperature																								
ari	ɑɾi	n	tassel; dangle; charm																								
arul	ɑɾul	n	seed	plant																							
arul'e	ɑrulʔɛ	n	seeds that fly in wind; rain seeds	plant																							
arulveti	ɑrulvɛti	n	ant (lit. seed legs)																								
ase	ɑsɛ	n	worker; laborer																								
ashkan	ɑʃkɑn	n	red granite (from red stone)																								
ashnai	ɑʃnaɪ	n	tomato (red fruit)	food																							
ashnaikekiis	ɑʃnaɪkɛkɪs	n	pizza (tomato pancake; often called just shaikiis)	food																							
ashnaiukeb	ɑʃnaɪjukɛb	n	tomatoe sauce (often just called shukeb)	food																							
ashqoxo	ɑʃqoxo	n	red feathered bird	animal; bird																							
ashu	ɑʃu	n	idol; icon; totem (of a spirit - tyuk; though many are empty)																								
Ashvel	ɑʃvɛl	n	March (red month; cor. w/ september)	time																							
asic	ɑsiç	n	feeling of stress; pressure; unease																								
asiro	ɑsiɾo	n	granddaughter 																								
atajo	ɑtɑʒo	n	plate																								
ataruiimb	ɑtɑɾuɪmb	n	hard taco; taquito	food; wbw																							
atarul	ɑtɑɾul	n	large rigid flat bread; can be eaten as a light snack but is often served with meats and vegetables or jam and nut spreads.	food; wbw																							
atta	ɑttɑ	n	sweet thing; candy; sugar																								
atta'a	ɑttɑʔɑ	n	pet name for small child (lit. small sweet thing)	culture																							
atzi	ɑdzi	n	distance																								
auk	aʊk	n	horse	mount																							
aukapi	aʊkɑpi	n	zebra 	animal; mammal 																							
aukka	aʊkkɑ	n	horseman; calvaryman																								
aukshira	ɑukʃiɾɑ	n	horse bird	mount																							
aun	aʊn	n	skill; technique; art; craft; dexterity; ability with hands																								
aun'i	aʊnʔi	n	resource; material; item																								
aunaeu	aʊneu	n	brilliant skill or dexterity; finesse																								
aunan	aʊnɑn	n	color																								
aunty'i	aʊntəʔi	n	unknown dexterity or skill (especially magical skills)																								
auri	aʊɾi	n	festival; celebration																								
autte	aʊtːɛ	n	description																								
auty'i	aʊtəʔi	n	thing of unknown origin or purpose (lit describe what/thing)																								
auyaty'i'i	ɑujɑtəʔiʔi 	n	thing-a-ma-jig/bob; what-cha-ma-call-it (from what huh describe thing)																								
avel	ɑvɛl	n	month	time																							
avhii	ɑβɪ	n	view; field of vision; sight																								
avhish	ɑβiʃ	n	landscape (out there view)																								
ayna	ɑjnɑ; ɑənɑ	n	plum	food																							
aynwly	ɑjnʍulə 	n	plum blossom	plant																							
baeshira	beʃiɾɑ	n	seabird	animal; bird																							
bai	bai	n	circle																								
ban	bɑn	n	market																								
banminga	bɑnmiŋɑ	n	apothecary store																								
bashu	bɑʃu	n	cucumber	food																							
baya	bɑjɑ	n	tree	tree																							
bayauri	bɑjaʊɾi	n	Christmas tree (lit. festival tree; can refer to other holiday trees)	tree																							
bayavii	bɑjɑvɪ	n	name tree (ceremonial tree within the kith kilan region planted in honor of someone for their wellbeing for life or afterlife (or to their detriment as a curse))	plant; tree; WbW																							
begwa	bɛgwɑ	n	hut																								
bemairul	bɛmaɪɾul	n	porridge or oat meal (from warm tasty grain; often bemai or marul)	food; wbw																							
bemsaun	bɛmsaʊn	n	warming gem (hard gem ranging from orange to black in color; has the ability to absorb and slowly release heat and quite cool when lacking heat; very useful for caravaning and its colors are often used to rank ability with black being highest)	stone; wbw; culture																							
bemy	bɛmə	n	warmth	weather																							
Bemyua	bɛmʲuɑ	n	Spring	time																							
ben	bɛn	n	sail																								
benfe	bɛnfɛ	n	sailboat																								
benka	bɛŋkɑ	n	sailor; boatman																								
beno	bɛno	n	tool																								
bensho	bɛnʃo	n	captain of a ship																								
beth	bɛθ	n	flower bud; blossom	plant																							
Bethvel	bɛθvɛl	n	October (flower month; cor. w/ april)	time																							
bilyyng	bilʲəŋ	n	carry case; backpack																								
bin	bin	n	carpet; rug	culture																							
bja	b̩ʒɑ	n	refined ore; bar of metal																								
bjadir	b̩ʒɑdiɾ	n	refinery																								
bjakut	bʒɑkut	n	gun (from metal tube; also called tyaukut or kutyau)																								
bnek	bnɛk	n	belly	body																							
bnekva	bnɛkvɑ	n	bellybutton	body																							
bneu	bnœ	n	window																								
briith	bɾɪθ	n	iron																								
briithdir	bɾɪθdiɾ	n	forge; smithery																								
bu'a	buʔɑ	n	butter	food																							
byor	bjoɾ	n	farm																								
byor'a	bjoɾʔɑ	n	garden (small farm)																								
cael	çel	n	restraint; self-control; temperance																								
caer	çeɾ	n	castle																								
caera	çeɾɑ	n	hero																								
cai	çɑɪ	n	life; lifetime; life lived; experiences; autumn years																								
caitay	çaɪtɑj / çaɪtɑə	n	drive; determination; willingness to sacrifice anything even up to your life in exchange for something																								
caitayel	çaɪtɑjɛl	n	self-sacrifice; considered a heroic trait																								
caitayojmoitohe	çaɪtɑjoʒmɔɪtohɛ	n	feeling of willingness to sacrifice yourself for your child (your time/wants/needs); wanting to give everything to raise your child																								
cametu	çɑmɛtu	n	temperature system (celsius; cam + aretu)																								
camyn	çɑmən	n	percent 																								
ceauci	çɛaʊçi	n	sauce	food																							
cecia	çɛçiɑ	n	miracle																								
cen	çɛn	n	fern	plant																							
cheri	tʃɛɾi	n	clay																								
cherika	tʃɛɾikɑ	n	potter; also used as flirtatious title 																								
chetaq	ʧɛtɑq	n	an alcoholic beverage	food&																							
cheukhus	tʃœkʰus	n	summit crystal (high altitude forming crystal of various shades of purple; glows slightly when warmed and is tricky to process into jewelry; once used for as charms for achieving goals)	stone; wbw; culture 																							
cheuq	tʃœq	n	summit; peak; top of a mountain; snow covered mountain																								
chib	ʧib	n	hate; hatred																								
chifet	ʧifɛt	n	anger at the world; at everything																								
chisae	tʃise	n	viscous water; gel like due to chemical reactions that occur near rifts; an extremely good conductor of imai																								
chivh	tʃiβ	n	rage; wrath																								
chivh'a	tʃiβʔa	n	anger (little rage)																								
chome	tʃomɛ	n	touch																								
chomece	tʃomɛçɛ	n	delicate touch; light brush																								
chomehl	tʃomɛhl̩	n	personal touch																								
chomekaun	tʃomɛkaʊn	n	person's touch																								
chomekimang	tʃomɛkimɑŋ	n	intimate touch																								
chono	tʃono	n	feeler; tentacle; sometimes root																								
choyoj	ʧojoʒ	n	chick; baby bird (specifically song birds)	animal; bird																							
chuachae	tʃuɑtʃe	n	snail (often just chua)	insect																							
chunden	tʃundɛn	n	corn (lit yellow hand)	food																							
chuniik	tʃunɪk	n	lemon; kumquat (cactus lemon; lit yellow spine)	food																							
chuoren	ʧuoɾɛn	n	daydream (walking dream)																								
chuq	tʃuq	n	feet	body																							
chuqe'e	tʃuqɛʔɛ	n	wooden rattle	music																							
chuqe'etiip	tʃuqɛʔɛtɪp	n	wooden frog (instrument)	music																							
chuqzi	tʃuqzi	n	foot	body																							
chuya	ʧujɑ	n	log	tree																							
chuyae	ʧuje	n	shell (also chae)																								
cil	çil	n	dawn																								
cillyus	çilljus	n	breaking dawn																								
ciqt	çiqt	n	mistake																								
cos	ços	n	smoke																								
cosae	çose	n	steam (water smoke)																								
cosaeu	çoseu	n	rainbow (from brilliant steam; also: cosaunan (steam color); so'iis (sun ripple); sosyunan (sunlight color); and mekho (after storm))																								
coswen	çosʷɛn	n	olive (lit. green oil)	food																							
coswtol	çosʍutol	n	smoke dock (not quite sure what it is atm; might be for smoking fish)																								
cui	çui	n	juice; pulp; common name for fruit of hardy kiwi vine which makes for a common form of juice	food																							
cuiarul	çuiɑɾul	n	pomegranate (lit juice seed)	food																							
cuiyayi	çuijɑji	n	hardy kiwi / kiwiberry  (hairless kiwi; lit. vine pulp; often cultivated like trees)	food; tree																							
cupe	çupe	n	game (typically board or strategy based)																								
cupero	çupɛɾo	n	game piece 																								
cyfanjo	çəfɑnʒo	n	doubt																								
cyfe	çəfɛ	n	doldrum; windless section of the ocean																								
cykuoh	çəkuoh	n	casserole (lit not cake)	food; wbw																							
cyn	çən	n	face	body																							
dae	de	n	balance (slightly implies precarious); sword or knife-edge; scale (from the point that the fulcrum of the scale sits)																								
daemiik	demɪk	n	grace																								
daer 	deɾ	n	column																								
daeyth	dejθ /deəθ	n	two edged sword (adachi daeyth)																								
dahod	dɑhod	n	mine (underground)																								
dahodka	dɑhodkɑ	n	miner (person of the mine)																								
daiyome	daɪjomɛ	n	assurance																								
danu	dɑnu	n	friend	family																							
daunae	daʊne	n	comrade																								
davha	dɑβɑ	n	papa; dad (when addressing)	family																							
dei	dɛi	n	want; desire; wish																								
deirijo	deiɾiʒo	n	yearning; desire; goal (often just deijo)																								
delfe 	dɛlfɛ	n	crosswind																								
den	dɛn	n	hands (dual); pair of hands	body																							
denae	dɛne	n	soldier																								
denkhud	dɛnkʰud	n	palms (hands hole, often shortened to nkhu)	body																							
denkhudzi	dɛnkʰudzi	n	palm  (also hedenkhud or henkh for short)	body																							
denzi	dɛnzi	n	hand (also heden)	body																							
desemeka	dɛsɛmɛkɑ	n	moneychanger; weigher																								
dete	dɛtɛ	n	need; necessity																								
deun	dœn	n	pile																								
deunvo	dœnvo	n	mound																								
deutyng	dœtəŋ	n	beast of burden; farm animal; pack animal (often ox or cow or reindeer)																								
devhaka	dɛβɑkɑ	n	spinster																								
dir	diɾ	n	workplace; workshop; job; company																								
djimjo	dʒimʒo	n	pity																								
dkai	dkai	n	mythril																								
dkir	dkiɾ	n	pear	food																							
doari	doɑɾi	n	hair brush																								
dyej	djɛʒ	n	history (written or documented)																								
dyejnaec	dʲɛʒneç	n	museum (history house)																								
dyirgma	dʲiɾɡmɑ	n	reptile (often just dyir)	animal; reptile																							
dyrjo	dəɾʒo	n	bravery; courage																								
e'mba	ɛʔm̩bɑ	n	manatee (from sea cow)																								
eb'ae	ɛbʔe	n	sea 																								
eb'aephn	ɛbʔeɸn̩	n	seaweed (lit. sea hair)																								
ebchuyae	ɛbtʃuje	n	seashell (also chuyeb and chueb)																								
ebveti	ɛbvɛti	n	sealegs (also veteb)																								
ehe	ɛhɛ	n	ride; mount																								
ej	ɛʒ	n	past; history																								
eme	ɛmɛ	n	action; deed																								
eme'e	ɛmɛʔɛ	n	humid weather	weather																							
emet	ɛmɛt	n	verb (from action word)																								
enan	ɛnɑn	n	work; labor																								
enal	ɛnɑl	n	function																								
enb	ɛnb	n	thought; idea																								
enbauri	ɛmbaʊɾi	n	stanza; verse (lit. joyful thought; sometimes just called enbau)																								
enbyoka	ɛmbjokɑ	n	thinker																								
enka 	ɛŋkɑ	n	speaker (speech maker)																								
eno	ɛno	n	performance; event; moment of accomplishment																								
enowri	ɛnoʍɾ̩i	n	possibility																								
ente	ɛntɛ	n	speech; address 																								
enteseme	ɛntɛsɛmɛ	n	verification 																								
enuvdir	ɛnuvdiɾ	n	lumber yard																								
enuvi	ɛnuvi	n	workable wood; lumber	tree																							
enys	ɛnəs	n	family member; relative	family																							
enysyt	ɛnəsət	n	family; kin	family																							
ephn	ɛɸn	n	hair	body																							
epsi	ɛpsi	n	well (water)																								
eqii	ɛqɪ	n	wetland; marsh	landscape																							
eqpe	ɛqpɛ	n	forehead	body																							
es'ae	ɛsʔe	n	blessed water; holy water; sacrament																								
esa	ɛsɑ	n	life; beginning; birth																								
esagome	ɛsɑɡomɛ	n	resurrection; revival (physical; in the sense of Christ it is esagomel since it's a self revival)																								
eseut	ɛsœt	n	tip; top; point; peak																								
esiite	ɛsɪtɛ	n	peak of a wave (from wave peak)																								
esn	ɛsn̩	n	candle																								
esphakhi 	ɛsɸɑkʰi	n	dart swift (extremely fast, dexterous, and acrobatic; can be a symbol of cowardice; cleverness; preciseness; and/or strategic intelligence)	animal; bird; wbw																							
et	ɛt	n	word																								
et'i	ɛtʔi	n	noun (from word thing)																								
etheunte	ɛθœntɛ	n	contradiction																								
etme	ɛtmɛ	n	statement																								
etsnte	ɛtsntɛ	n	sign; indicator																								
ette	ɛttɛ	n	sign; note; message; notice																								
ettwn	ɛttʍun	n	hanging sign																								
etyt	ɛtət	n	sentence																								
