Entry Word:,Pronunciation,POS,Meaning,Verb Class,,Volition status,,,,first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) ,,,,tanmqe/ camgyu ,,,,,,,,teptyu (coinage system),,,,,
levhse,lɛβsɛ,v,draw,2,,,,,,,,okoi,,,,,,,,,,,,,,,
li,li,v,exist; exist as,1,,,,,,,,olhl,,,,,,,,,,,,,,,
libi,libi,v,become (lit. inchoative exist),1,,,,,,,,olykae,,v,4,,,,,,,,,,,,
lida,lidɑ,v,make better; save (esp by causing a person's behavior or mindset to change for the better); redeem,4,,,,,,,,omy,,,,,,,,,,,,,,,
liinyo,lɪnjo,v,compares to; relates to; is like; akin to (automatic hypothetical; used when comparing clauses; when only nouns use post *liin*),1,,,,,,,,ont,,,,,,,,,,,,,,,
likae,like,v,save; deliver; rescue; uplift,4,,,,,,,,ope,,,,,,,,,,,,,,,
liman,limɑn,v,set apart; anoint; call to a purpose; ordain,4,,,,,,,,oqr,,,,,,,,,,,,,,,
litsu,litsu,v,save; set apart from use or for a specific use,1,,,,,,,,oqri,,,,,,,,,,,,,,,
loikvha,,v,decorate,3,,,,,,,,oroesi,,,,,,,,,,,,,,,
lom,lom,v,hug; embrace,1,,,,,,,,ot,,,,,,,,,,,,,,,
lona,lonɑ,v,to show expressions of love; to express love (used when saying 'love you'),1,,,,,,,,owaki,,,,,,,,,,,,,,,
lona'en,lonɑʔɛn,v,fall in love; enamored,1,,,,,,,,,,,,,,,,,,,,,,,
lonaliinyo,lonɑlɪnjo,v,to love as your own (usually associated with as a family member; esp child),1,,,,,,,,,,,,,,,,,,,,,,,
lonayo,lonɑjo,v,love,1,,,,,,,,pajo,,,,,,,,,,,,,,,
lu'ise,luʔisɛ,v,plant,2,,,,,,,,pas,,,,,,,,,,,,,,,
luthyo,luθjo,v,root; take root,1,,,,,,,,pate,,,,,,,,,,,,,,,
luvhse,luβsɛ,v,write (also remse),2,,,,,,,,payo,,v,1,,,,,,,,,,,,
maeuvha,mɑœβɑ/meuβɑ,v,rue; bitterly regret; mourn,3,,,,,,,,phec,v,,,,,,,,,,,,,,
maeuyo,mɑœjo/meujo,v,regret,1,,,,,,,,phecyo,v,,,,,,,,,,,,,,
mangkae,mɑŋgke,v,carve something,4,,,,,,,,phekog,,,,,,,,,,,,,,,
mangse,mɑŋgsɛ,v,carve; cut,2,,,,,,,,phuma,,,,,,,,,,,,,,,
mani,mɑni,v,circle; spiral; twirl; walk around,1,,,,,,,,anoche,,,,,,,,,,,,,,,
manise,mɑnisɛ,v,swirl; twirl; spiral; spin something around,2,,,,,,,,privya,,,,,,,,,,,,,,,
maqetonkae,mɑqɛtonke,v,explode (actor focus); lit. fire-rattle-sound.out,4,,,,,,,,qast,,,,,,,,,,,,,,,
maqetonlak,mɑqɛtonlɑk,v,explode (patient focus) ,4,,,,,,,,qeu,,,,,,,,,,,,,,,
masekae,mɑsɛke,v,wash,4,,,,,,,,,,,,,,,,,,,,,,,
mbae,mbe,v,divide (used in equations),1,,,,,,,,,,,,,,,,,,,,,,,
mbae'en,mbeʔɛn,v,to be unsure; undecided (also mbaena; else cyfosh or apfosh),1,,,,,,,,,,,,,,,,,,,,,,,
mbaekae,mbeke,v,divide; separate; cut or split in two (actor focus),4,,,,,,,,qori,,,,,,,,,,,,,,,
mbaelak,mbelɑk,v,to split in two (patient focus),4,,,,,,,,qri,,,,,,,,,,,,,,,
metse,mɛtsɛ,v,fill up,2,,,,,,,,,,,,,,,,,,,,,,,
metyo,mɛtjo,v,charge (with a current); fill or pervade (with emotion; quality; or concept),1,,,,,,,,qur,,,,,,,,,,,,,,,
miin,mɪn,v,take; get; grab; pick up; subtract/minus (used is equations),1,,,,,,,,qwr,,,,,,,,,,,,,,,
miincet,mɪnçet,v,receive,2,,,,,,,,rel,,,,,,,,,,,,,,,
miinm,miinm,v,give ,1,,,,,,,,rep,,,,,,,,,,,,,,,
miinmkae,,v,gift (something),4,,,,,,,,,,,,,,,,,,,,,,,
miinmse,mɪnmᵊsɛ,v,give; provide (often with charity),2,,,,,,,,rhul,,,,,,,,,,,,,,,
miinse,mɪnsɛ,v,take away; remove,2,,,,,,,,rhun,,,,,,,,,,,,,,,
miinvha,mɪnβɑ,v,take; grab; steal; pocket; pickpocket,3,,,,,,,,ri'en,,v,,,,,,,,,,,,,
miisvha,mɪsβɑ,v,melt,3,,,,,,,,riim,,,,,,,,,,,,,,,
miitakae,,v,take place of; sacrifice yourself for,4,,,,,,,,sac,,,,,,,,,,,,,,,
miitay,,v,take place of; replace (from take & place down),1,,,,,,,,sae,,,,,,,,,,,,,,,
miitayse,,v,take place of; steal someone's position,2,,,,,,,,sahyf,,,,,,,,,,,,,,,
miyo,mijo,v,chat,1,,,,,,,,,,,,,,,,,,,,,,,
mo'byo,,v,disappoint,1,,,,,,,,saka,,,,,,,,,,,,,,,
monakuyo,,v,feel right at home (home vibes),1,,,,,,,,same,,,,,,,,,,,,,,,
monasayo,,v,wanting for home or something you cant describe; having an unknown sadness,,,,,,,,,secu,,,,,,,,,,,,,,,
mufa,mufɑ,v,try; attempt (muf- for compounding; ie mufmukae = attempted murder),1,,,,,,,,sekyo,,v,1,,,,,,,,,,,,
mukae,muke,v,kill; murder,4,,,,,,,,seo,,,,,,,,,,,,,,,
mulak,mulɑk,v,be killed; murdered,4,,,,,,,,shak,,,,,,,,,,,,,,,
mulge,mulgɛ,v,go into a coma; turn vegetative/brain dead,4,,,,,,,,she,,,,,,,,,,,,,,,
mulvh,mulβ,v,die; be killed (not by a murderer tho),3,,,,,,,,shi'anak,,v,4,,,,,,,,,,,,
muse,,v,promise; pledge; vow; commit,2,,,,,,,,shom,,,,,,,,,,,,,,,
musn,musn,v,get ready; prepare,1,,,,,,,,shos,,,,,,,,,,,,,,,
musn'en,musnʔɛn,v,brace; hold on,1,,,,,,,,sico,,,,,,,,,,,,,,,
muvha,muβɑ,v,kill (not murder though; usually inanimate actor),3,,,,,,,,sina,,,,,,,,,,,,,,,
myiibman,,v,surprise,3,,,,,,,,sinhu,,,,,,,,,,,,,,,
nae,ne,v,add,1,,,,,,,,sivae,,,,,,,,,,,,,,,
nak,,v,sunbathe; sit out in the sun,1,,,,,,,,sive,,,,,,,,,,,,,,,
nautso,naʊtso,v,matter; be of importance; have significance,2,,,,,,,,sives,,,,,,,,,,,,,,,
no'anda,noʔɑndɑ,v,marry,4,,,,,,,,,,,,,,,,,,,,,,,
noakae,noɑke,v,cook,4,,,,,,,,so,,,,,,,,,,,,,,,
noavha,noɑβɑ,v,heat; warm up (usually for cooking),3&,,,,,,,,,,,,,,,,,,,,,,,
nodecet,nodɛçɛt,v,journey; travel; wander,2,,,,,,,,,,,,,,,,,,,,,,,
nodetyo,nodɛtjo,v,evaluate or assess in order to improve,1&,,,,,,,,,,,,,,,,,,,,,,,
nodeyo,nodɛjo,v,travel (with a destination),2,,,,,,,,sohm,,,,,,,,,,,,,,,
nuar'en,nuɑɾʔɛn,v,vanish; fade out; fade away; desintigrate,1,,,,,,,,sokh,,,,,,,,,,,,,,,
nuarcet,nuɑɾçɛt,v,vanish; teleport out,2,,,,,,,,soksha,,,,,,,,,,,,,,,
nuarse,nuɑɾsɛ,v,go away; leave; disappear (esp without a chance of coming back),2,,,,,,,,soq,,,,,,,,,,,,,,,
nuenyo,nuɛnjo,v,conscious,1,,,,,,,,soqru,,,,,,,,,,,,,,,
nuwa,nuwɑ,v,swim,1,,,,,,,,sorm,,,,,,,,,,,,,,,
nyngcet,nəŋgçɛt,v,starve; go hungry,2,,,,,,,,sowon,,,,,,,,,,,,,,,
nyngtsu,nəŋtsu,v,fast; go without food,2,,,,,,,,sriis,,,,,,,,,,,,,,,
obe,obɛ,v,use; make use of,1,,,,,,,,sris,,,,,,,,,,,,,,,
obeb,obɛb,v,over-use,,,,,,,,,sro,,,,,,,,,,,,,,,
obebak,obɛbɑk,v,break from constant use,,,,,,,,,suta,,,,,,,,,,,,,,,
obebse,obɛbsɛ,v,waste,,,,,,,,,swc,,,,,,,,,,,,,,,
oda,odɑ,v,command; instruct (usually militarially),1,,,,,,,,syb,,,,,,,,,,,,,,,
ohe'en,ohɛʔɛn,v,feel (sensation) (don't use as an evidential unless you are actually experiencing it),,,,,,,,,t'al,,,,,,,,,,,,,,,
ohenon,ohɛnon,v,feel (emotion),3,,,,,,,,t'uqi,,v,1,,,,,,,,,,,,
ohwe,ohʷɛ; oːwɛ,v,hide (yourself),1,,,,,,,,tache,,,,,,,,,,,,,,,
ohwecet,ohʷɛçɛt; oːwɛçɛt,v,lose (something),2,,,,,,,,telelh,,,,,,,,,,,,,,,
ohwelse,ohʷɛlsɛ; oːwɛlsɛ,v,hide (patient focus),2,,,,,,,,temaq,,,,,,,,,,,,,,,
ohwese,ohʷɛsɛ; oːwɛsɛ,v,hide (something; agent focus),2,,,,,,,,,,,,,,,,,,,,,,,
ohwetsu,ohʷɛtsu; oːwɛtsu,v,hide; conceal (information),2,,,,,,,,teqy,,,,,,,,,,,,,,,
okii'en,okɪʔɛn,v,argue,1,,,,,,,,ter,,,,,,,,,,,,,,,
on,,v,cup; hold liquid,,,,,,,,,tes,,,,,,,,,,,,,,,
owa,owɑ,v,have; own (for concrete objects only; [arbitrarily body instead of mind]),1,,,,,,,,teth,,,,,,,,,,,,,,,
owa'en,owɑʔɛn,v,have (for abstract stuff),1,,,,,,,,tex,,,,,,,,,,,,,,,
owacet,owɑçɛt,v,recieve,2,,,,,,,,texiv,,,,,,,,,,,,,,,
owase,owɑsɛ,v,obtain; get,2,,,,,,,,texvi,,,,,,,,,,,,,,,
pase,,v,bend,2,,,,,,,,tgan,,,,,,,,,,,,,,,
pecet,pɛçɛt,v,owe (uses about dative for thing owed),2,,,,,,,,,,,,,,,,,,,,,,,
phu,ɸu,v,blow; breathe,1,,,,,,,,tikro,,,,,,,,,,,,,,,
qaut,qaʊt,v,strike; punch; hit; fight,1,,,,,,,,tio'ae,,,,,,,,,,,,,,,
qautkae,qaʊtke,v,bludgeon; club; bash; to hit with heavy impact,4,,,,,,,,tiop,,,,,,,,,,,,,,,
qautnae,qaʊtne,v,beat,1,,,,,,,,tiyna,,,,,,,,,,,,,,,
qe'e,qɛʔɛ,v,rattle; shake; make noise; rustle; whistle; vibrate,1,,,,,,,,tkor,,,,,,,,,,,,,,,
qiincet,qɪnçɛt,v,trip; fall,2,,,,,,,,tle,,,,,,,,,,,,,,,
qiinlse,qɪnlsɛ,v,trip; cause to fall,2,,,,,,,,toa,,,,,,,,,,,,,,,
qiinse,qɪnsɛ,v,dive,2,,,,,,,,tom,,,,,,,,,,,,,,,
qiit,qɪt,v,fit; put yourself in; get in; go in; enter; walk in,,,,,,,,,toya,,,,,,,,,,,,,,,
qiitda,qɪtdɑ,v,force into a situation,,,,,,,,,toyot,,,,,,,,,,,,,,,
qiitkae,qɪtke,v,force into something,,,,,,,,,tres,,,,,,,,,,,,,,,
qiitse,qɪtsɛ,v,fit; put in; place inside,,,,,,,,,phua,,,,,,,,,,,,,,,
qiitvha,qɪtβɑ,v,squeeze; squish; shape,,,,,,,,,tu,,,,,,,,,,,,,,,
qix,qix,v,wince; cringe (voluntarily for something cringeworthy),1,,,,,,,,tun,,,,,,,,,,,,,,,
qix'en,qixʔɛn,v,wince; cringe (invol),1&,,,,,,,,tunge,,v,4,,,,,,,,,,,,
qup,qup,v,carry,1,,,,,,,,uqi,,v,1,,,,,,,,,,,,
qws,,v,rate; evaluate,1,,,,,,,,ut,,,,,,,,,,,,,,,
r'isse,ɾʔissɛ,v,step,2,,,,,,,,vaennhel,,,,,,,,,,,,,,,
raxa,ɾɑxɑ,v,continue; resume; keep (when use by itself it refers to previous action; otherwise; it's used as suffix ie etsnraxa - resume speaking to),1&,,,,,,,,van,,,,,,,,,,,,,,,
remse,,v,write (but more for the purpose of something ie. an essay or story),2,,,,,,,,van ,,,,,,,,,,,,,,,
renyo,ɾɛnjo,v,dream,1,,,,,,,,veso,,,,,,,,,,,,,,,
reutso,ɾœtso,v,surpass; overcome; break through,2,,,,,,,,wa,,,,,,,,,,,,,,,
rha,r̥ɑ,v,rise,1,,,,,,,,,,,,,,,,,,,,,,,
rhivyt ,r̥ivət,v,straighten,1,,,,,,,,wam,,,,,,,,,,,,,,,
rhivytkae ,r̥ivətke,v,maintain,4,,,,,,,,wekh,,,,,,,,,,,,,,,
rhivytse ,r̥ivətsɛ,v,wash; clean,2,,,,,,,,wohn,,,,,,,,,,,,,,,
rhivytvha,r̥ivətβɑ,v,repair,3,,,,,,,,wont,,,,,,,,,,,,,,,
rhn,r̥n,v,bathe (rather than washing; this is specifically for relaxation in hot springs),1 - culture&,,,,,,,,wonz,,,,,,,,,,,,,,,
rhnbyo,r̥nbjo,v,laze; do nothing (lit. over-relax),1&,,,,,,,,wri,,,,,,,,,,,,,,,
rhnkae,r̥nke,v,heal; cure,4&,,,,,,,,wso,,,,,,,,,,,,,,,
rhnvha,r̥nβɑ,v,stretch to relax and loosen up,3 - culture&,,,,,,,,xaera,,,,,,,,,,,,,,,
rhnvhi,r̥nβi,v,massage,3&,,,,,,,,xam,,,,,,,,,,,,,,,
rhnyo,r̥njo,v,relax; calm down; meditiate,1 - culture&,,,,,,,,xani,,,,,,,,,,,,,,,
rica,ɾiçɑ,v,measure,1,,,,,,,,xano,,,,,,,,,,,,,,,
ruki'en,ɾukiʔɛn,v,shine; glisten; reflect light,1,,,,,,,,xecu,,,,,,,,,,,,,,,
ruo'en,ɾuoʔɛn,v,meet (people come to you),1,,,,,,,,xehmu,,,,,,,,,,,,,,,
ruoyo,ɾuojo,v,meet (you go to people),1,,,,,,,,xehn,,,,,,,,,,,,,,,
saecet,,v,fall apart; fail; break down,,,,,,,,,xey,,,,,,,,,,,,,,,
saecet,seçɛt,v,crumble (patient),2&,,,,,,,,xi,,,,,,,,,,,,,,,
saej'en,seʒʔɛn,v,slide; slip,1,,,,,,,,xihs,,,,,,,,,,,,,,,
saejlvha,seʒlβɑ,v,carry away (esp for water sources),3,,,,,,,,xihsu,,,,,,,,,,,,,,,
saejvhi,seʒβi,v,slip away; go along; get carried away (esp by water or wind sources),3,,,,,,,,xivi,,,,,,,,,,,,,,,
saese,sesɛ,v,crumble (agent),2&,,,,,,,,xy,,,,,,,,,,,,,,,
sau,saʊ,v,boil,1&,,,,,,,,xyqra,,v,1,,,,,,,,,,,,
saubcet,saʊbçɛt,v,overflow; flood,2,,,,,,,,y,,,,,,,,,,,,,,,
saubvha,saʊbβɑ,v,cover; blanket,3,,,,,,,,yaer,,,,,,,,,,,,,,,
saucet,saʊçɛt,v,wash over; flow over; roll over (esp. liquid or things in liquid),2,,,,,,,,,,,,,,,,,,,,,,,
saukae,saʊke,v,smother,4,,,,,,,,yfe,,,,,,,,,,,,,,,
sayo,sɑjo,v,miss; long for,1,,,,,,,,yfuwa,,,,,,,,,,,,,,,
senbtsu,sɛnbᵊtsu / sɛnᵊbtsu,v,scare; terrify; terrorize; cause to feel fear (over scare),2,,,,,,,,yhs,,,,,,,,,,,,,,,
senlcet,sɛnlçɛt,v,scare; startle (patient focus),2,,,,,,,,yhuly,,,,,,,,,,,,,,,
sentsu,sɛntsu,v,scare; startle,2,,,,,,,,yna,,,,,,,,,,,,,,,
senucet,sɛnuçɛt,v,scare; fear; scared of; afraid of; (patient focus),2*,,,,,,,,ynabi,,v,1,,,,,,,,,,,,
shegkae,ʃɛgke,v,bind; tie,4,,,,,,,,yni,,,,,,,,,,,,,,,
shelse,,v,smell; sniff,2,,,,,,,,yot,,,,,,,,,,,,,,,
shi,ʃi,v,bite,1*,,,,,,,,yqra,,,,,,,,,,,,,,,
shigyo,ʃigjo,v,contemplate life; mull over something,1,,,,,,,,yris,,,,,,,,,,,,,,,
shikkae,ʃikːe,v,punish,4,,,,,,,,z'yth,,,,,,,,,,,,,,,
shinae,ʃine,v,chew,1*,,,,,,,,,,,,,,,,,,,,,,,
shivh,ʃiβ,v,to bleed ,3,,,,,,,,zemo,,,,,,,,,,,,,,,
shivha,ʃiβɑ,v,bleed (something),3,,,,,,,,,,,,,,,,,,,,,,,
shok,ʃok,v,dominate; control,1&,,,,,,,,,,,,,,,,,,,,,,,
shoktso,ʃoktso,v,decide; choose; judge,2,,,,,,,,,,,,,,,,,,,,,,,
shokyo,ʃokjo,v,to have dominance or control of something (in the sense of right to; as in government),1,,,,,,,,,,,,,,,,,,,,,,,
shuiyo,,v,distinguish; discern; perceive; make out; detect,2,,,,,,,,,,,,,,,,,,,,,,,
sianmse,siɑnmsɛ,v,send for; call,2,,,,,,,,,,,,,,,,,,,,,,,
sianse,siɑnsɛ,v,send,2,,,,,,,,,,,,,,,,,,,,,,,
sik,sik,v,cry openly/loudly; sob; mourn,1,,,,,,,,,,,,,,,,,,,,,,,
sik'en,sikʔɛn,v,cry quietly (trying to keep it in); not letting anyone know you're hurting,1,,,,,,,,,,,,,,,,,,,,,,,
sike,sike,v,actions to show gratitude,1,,,,,,,,,,,,,,,,,,,,,,,
sike'en,sikɛʔɛn,v,feel indebted; feel gratitude for,1,,,,,,,,,,,,,,,,,,,,,,,
sikecet,sikɛçɛt,v,feel/are obligated to thank,2,,,,,,,,,,,,,,,,,,,,,,,
siketso,sikɛtso,v,"thank (used as the phrase; ""Thank you"")",2,,,,,,,,,,,,,,,,,,,,,,,
sikeyo,sikɛyo,v,thank; acknowledge,1,,,,,,,,,,,,,,,,,,,,,,,
sivmse,sivmsɛ,v,follow,2,,,,,,,,,,,,,,,,,,,,,,,
sivse,sivsɛ,v,guide; lead,2,,,,,,,,,,,,,,,,,,,,,,,
soshman,,v,disorient,3,,,,,,,,,,,,,,,,,,,,,,,
soshyo,,v,confuse,1,,,,,,,,,,,,,,,,,,,,,,,
taecet,teçɛt,v,lie; lay,1*,,,,,,,,,,,,,,,,,,,,,,,
taeyo,tejo,v,lay down to sleep/rest (actor),1*,,,,,,,,,,,,,,,,,,,,,,,
tak,tɑk,v,cry out; yell; shout,1,,,,,,,,,,,,,,,,,,,,,,,
tak'en,tɑkʔɛn,v,scream; cry out in pain,1,,,,,,,,,,,,,,,,,,,,,,,
takeukae,,v,gift something (especially for a holiday or birthday; a celebratory gift rather than a random thing),4,,,,,,,,,,,,,,,,,,,,,,,
takse,tɑksɛ,v,cry out; say with great emotion,2,,,,,,,,,,,,,,,,,,,,,,,
talij,,v,make an effort,1,,,,,,,,,,,,,,,,,,,,,,,
tanvha,tɑnβɑ,v,tend; keep; keep in good condition,3,,,,,,,,,,,,,,,,,,,,,,,
tashse,,v,serve,2,,,,,,,,,,,,,,,,,,,,,,,
tatse,tɑtsɛ,v,kick; kick over,2,,,,,,,,,,,,,,,,,,,,,,,
tayo,tɑjo,v,place; lay; set down (both mental and body),1,,,,,,,,,,,,,,,,,,,,,,,
tecet,tɛçɛt,v,like,2,,,,,,,,,,,,,,,,,,,,,,,
tegase,,v,navigate,2,,,,,,,,,,,,,,,,,,,,,,,
tekrilcet,tɛkɾilçɛt,v,be offended,3&,,,,,,,,,,,,,,,,,,,,,,,
tekritsu,tɛkɾitsu,v,offend,2&,,,,,,,,,,,,,,,,,,,,,,,
tekrivha,tɛkriβɑ,v,to cause injury; hurt; injure; wound; harm,3,,,,,,,,,,,,,,,,,,,,,,,
tekriyo,tɛkɾijo,v,cause mental pain; do wrong to; do injustice,1&,,,,,,,,,,,,,,,,,,,,,,,
temman,tɛmmɑn,v,risk,3,,,,,,,,,,,,,,,,,,,,,,,
temvha,tɛmβɑ,v,threaten; menace,3,,,,,,,,,,,,,,,,,,,,,,,
teumshi,,v,bite your lip,1,,,,,,,,,,,,,,,,,,,,,,,
thae,θe,v,stand,1,,,,,,,,,,,,,,,,,,,,,,,
thaese,θesɛ,v,wait; wait in line,2,,,,,,,,,,,,,,,,,,,,,,,
thaey,θejə,v,stand over; stand above,1,,,,,,,,,,,,,,,,,,,,,,,
thaeyse,θejəsɛ,v,loom; indimidate; stand over menacingly,2,,,,,,,,,,,,,,,,,,,,,,,
theunse,,v,defect,2,,,,,,,,,,,,,,,,,,,,,,,
thu,,v,flow; run (mostly for liquid but can be for sinuous movement); slither,1,,,,,,,,,,,,,,,,,,,,,,,
tian,tiɑn,v,stay; linger; remain; last,1,,,,,,,,,,,,,,,,,,,,,,,
tian'en,tiɑnʔɛn,v,linger; hang; leave an essance/memory (for things already gone),1,,,,,,,,,,,,,,,,,,,,,,,
tiango,,v,are already; exists already (lit remain again),1,,,,,,,,,,,,,,,,,,,,,,,
tiik,tɪk,v,tap; tink; clink,1,,,,,,,,,,,,,,,,,,,,,,,
tiik'en,tɪkʔɛn,v,tick (noise like clock),1,,,,,,,,,,,,,,,,,,,,,,,
tiyo,tijo,v,forgive,1,,,,,,,,,,,,,,,,,,,,,,,
tkau,,v,anticipate; look forward to; be excited for,1,,,,,,,,,,,,,,,,,,,,,,,
tokl,,v,joke; tease (esp to make someone laugh),1,,,,,,,,,,,,,,,,,,,,,,,
tonliintso,,v,rhyme,2,,,,,,,,,,,,,,,,,,,,,,,
tonse,tonsɛ,v,sound; sound out; ring; make distinct or resounding noise,2,,,,,,,,,,,,,,,,,,,,,,,
topcet,topçɛt,v,catch (something thrown),2,,,,,,,,,,,,,,,,,,,,,,,
topkae,,v,catch something (usually referring to hunting),4,,,,,,,,,,,,,,,,,,,,,,,
topse,topsɛ,v,catch someone (after chasing),2,,,,,,,,,,,,,,,,,,,,,,,
tsanda,tsɑndɑ,v,doom; condemn; sentence to death,4,,,,,,,,,,,,,,,,,,,,,,,
tsankae,tsɑnke,v,destroy; ruin; cause a downfall,4,,,,,,,,,,,,,,,,,,,,,,,
tsanlak,tsɑnlɑk,v,be destroyed; ruined; or caused to downfall,4,,,,,,,,,,,,,,,,,,,,,,,
tsanlge,tsɑnlgɛ,v,be doomed; condemned; or sentenced to death,4,,,,,,,,,,,,,,,,,,,,,,,
tsatse,tsɑtsɛ,v,deceive,2&,,,,,,,,,,,,,,,,,,,,,,,
tsatyo,tsɑtjo,v,lie; tell an untruth,&,,,,,,,,,,,,,,,,,,,,,,,
tse,tsɛ,v,release; let go,1&,,,,,,,,,,,,,,,,,,,,,,,
tsekae,,v,let go of something permanently; sacrifice something,4,,,,,,,,,,,,,,,,,,,,,,,
tsenkae,tsɛnke,v,end; finish; complete,4,,,,,,,,,,,,,,,,,,,,,,,
tsense,tsɛnsɛ,v,put down; lay down (an item),2,,,,,,,,,,,,,,,,,,,,,,,
tsenvha,tsɛnβɑ,v,put to bed; put to sleep; put to rest (death euphamism),3,,,,,,,,,,,,,,,,,,,,,,,
tsenyo,tsɛnjo,v,let go of a burden,1,,,,,,,,,,,,,,,,,,,,,,,
tseub,tsœb,v,care; worry,1,,,,,,,,,,,,,,,,,,,,,,,
tseub'en,tsœbʔen,v,worry about past decisions; typically late at night,1,,,,,,,,,,,,,,,,,,,,,,,
tseufetyo,tsœfɛtjo,v,trigger; set off; esp with regards to ptsd and panic attacks,&,,,,,,,,,,,,,,,,,,,,,,,
tseuge,tsœgɛ,v,have an epiphany,4,,,,,,,,,,,,,,,,,,,,,,,
tseulge,tsœlgɛ,v,to have your life flash before your eyes,4,,,,,,,,,,,,,,,,,,,,,,,
tseuman,tsœmɑn,v,try to remember; find a memory of/ search for memory of,3,,,,,,,,,,,,,,,,,,,,,,,
tseumman,tsœmmɑn,v,remind (you remind someone about),3,,,,,,,,,,,,,,,,,,,,,,,
tseumnon,tsœmnon,v,remind (something reminds you of),3,,,,,,,,,,,,,,,,,,,,,,,
tseunon,tsœnon,v,remember; recall,3,,,,,,,,,,,,,,,,,,,,,,,
tseuse ,tsœsɛ,v,document memories; journal,2,,,,,,,,,,,,,,,,,,,,,,,
tseuyo ,tsœjo,v,contemplate or sift through memories,1,,,,,,,,,,,,,,,,,,,,,,,
tsiikkae,tsɪkke,v,break (actor focus),4&,,,,,,,,,,,,,,,,,,,,,,,
tsiiklak,,v,break; break open (patient focus),,,,,,,,,,,,,,,,,,,,,,,,
tsikcet,tsikçɛt,v,spark,2,,,,,,,,,,,,,,,,,,,,,,,
tsittsit,ʦitʦit,v,twinkle; flicker; sparkle,1,,,,,,,,,,,,,,,,,,,,,,,
tska,ʦkɑ,v,tie,1,,,,,,,,,,,,,,,,,,,,,,,
tsukae,ʦuke,v,freeze,4,,,,,,,,,,,,,,,,,,,,,,,
tsulak,tsulɑk,v,be frozen,4,,,,,,,,,,,,,,,,,,,,,,,
tsulcet,ʦulçɛt,v,to be in stasis; cryofreeze (invol),2,,,,,,,,,,,,,,,,,,,,,,,
tsulse,tsulsɛ,v,to be in stasis; cryofreeze (vol),2,,,,,,,,,,,,,,,,,,,,,,,
tsuse,tsusɛ,v,medically freeze; cryofreeze; stasis,2,,,,,,,,,,,,,,,,,,,,,,,
tu,tu,v,fly (flapping wings),1,,,,,,,,,,,,,,,,,,,,,,,
tu'en,tuʔɛn,v,fly (coasting on air currents),1,,,,,,,,,,,,,,,,,,,,,,,
tucet,,v,soar ,,,,,,,,,,,,,,,,,,,,,,,,
tuse,,v,fly to,,,,,,,,,,,,,,,,,,,,,,,,
twk,tʍuk,v,knock (once),1*,,,,,,,,,,,,,,,,,,,,,,,
twknae,tʍukne,v,knock repeatedly,1*,,,,,,,,,,,,,,,,,,,,,,,
twnnyo,,v,brag (backformation),,,,,,,,,,,,,,,,,,,,,,,,
twnyojyo,,v,to brag about your own child,1,,,,,,,,,,,,,,,,,,,,,,,
twnyojytyo,,v,to brag about your own children,1,,,,,,,,,,,,,,,,,,,,,,,
tyase,,v,connect; link,2,,,,,,,,,,,,,,,,,,,,,,,
tykkae,təkke,v,cause; start (intended) (can be used as causitive that lacks causitive agent (formed as adv phrase; more common to use -ang),4,,,,,,,,,,,,,,,,,,,,,,,
tykrak,təkɾɑk,v,cause; result (unintended),4,,,,,,,,,,,,,,,,,,,,,,,
ulcet,ulçɛt,v,jump; leap (from being startled),2,,,,,,,,,,,,,,,,,,,,,,,
us,us,v,jump; leap ,2*,,,,,,,,,,,,,,,,,,,,,,,
usnae,usne,v,hop (more than once),2*,,,,,,,,,,,,,,,,,,,,,,,
uyo,ujo,v,pray,1,,,,,,,,,,,,,,,,,,,,,,,
vaec,veç,v,hoe; till; or turn over the earth,1&,,,,,,,,,,,,,,,,,,,,,,,
vaecse,veçsɛ,v,rake up,2&,,,,,,,,,,,,,,,,,,,,,,,
vaecyo,veçjo,v,to rake (esp for the purpose of clearing the mind; Zen gardening),1-culture&,,,,,,,,,,,,,,,,,,,,,,,
vause,vaʊsɛ,v,open,2,,,,,,,,,,,,,,,,,,,,,,,
vejak,vɛʒɑk,v,be forced into crime,4,,,,,,,,,,,,,,,,,,,,,,,
vejkae,vɛʒke,v,to commit a crime,4,,,,,,,,,,,,,,,,,,,,,,,
vhara,βɑɾɑ,v,ask; question,1,,,,,,,,,,,,,,,,,,,,,,,
vharyo,βɑɾjo,v,wonder; ponder; consider,1,,,,,,,,,,,,,,,,,,,,,,,
vhenkae,βɛnke,v,make; build; create; form,4,,,,,,,,,,,,,,,,,,,,,,,
vhenlak,,v,make; create; build; form (patient focus),,,,,,,,,,,,,,,,,,,,,,,,
vhenlcet,,v,made up of; composed of,,,,,,,,,,,,,,,,,,,,,,,,
vhenyo,βɛnjo,v,plan,1,,,,,,,,,,,,,,,,,,,,,,,
vhii'yman,βɪʔəmɑn,v,wear thin; wear down (both emotionally and physically),3&,,,,,,,,,,,,,,,,,,,,,,,
vhii'ynthomona,,v,to finally come home after after a long day (lit. from exhausted to home),,,,,,,,,,,,,,,,,,,,,,,,
vhiishse,βɪʃsɛ,v,warn (of imminent danger),2,,,,,,,,,,,,,,,,,,,,,,,
vukae,vuke,v,burn down (set fire),4,,,,,,,,,,,,,,,,,,,,,,,
